year,level_0,index,Unnamed: 0,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees
2022,0.0,0.0,4379.5,18.6,78.0,0.0,911.4,24.5,1500.0,6010.0
2023,1.0,1.0,13139.5,20.7,78.0,0.0,913.4,,,
